rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
13,SPECIES_1,text,"notNull(species);notEmpty(species);lengthMatchList(species, {4, 7, 10, 13, 16, 19}|NULL_VALUE);matchTable(substringText(species, 1, 2), 'translation', 'species_code_mapping', 'mb_species_codes')","lookupText(substringText(species, 1, 2), 'translation', 'species_code_mapping', 'mb_species_codes', 'casfri_species_codes')",Maps source value to SPECIES_1 using lookup table,TRUE
14,SPECIES_PER_1,integer,"notNull(species);notEmpty(species);lengthMatchList(species, {4, 7, 10, 13, 16, 19}|-8888);isIntsubstring(species, 3, 2)","substringMultiplyInt(species, 3, 2, 10)",Maps source value to SPECIES_PER_1 by multiplying by 10,TRUE
15,SPECIES_2,text,"notNull(species);notEmpty(species);lengthMatchList(species, {7, 10, 13, 16, 19}|NULL_VALUE);matchTable(substringText(species, 5, 2), 'translation', 'species_code_mapping', 'mb_species_codes')","lookupText(substringText(species, 5 , 2), 'translation', 'species_code_mapping', 'mb_species_codes', 'casfri_species_codes')",Maps source value to SPECIES_2 using lookup table.,TRUE
16,SPECIES_PER_2,integer,"notNull(species);notEmpty(species);lengthMatchList(species, {7, 10, 13, 16, 19}|-8888);isIntsubstring(species, 7, 1)","substringMultiplyInt(species, 7, 1, 10)",Maps source value to SPECIES_PER_2 by multiplying by 10,TRUE
17,SPECIES_3,text,"notNull(species);notEmpty(species);lengthMatchList(species, {10, 13, 16, 19}|NULL_VALUE);matchTable(substringText(species, 8, 2), 'translation', 'species_code_mapping', 'mb_species_codes')","lookupText(substringText(species, 8 , 2), 'translation', 'species_code_mapping', 'mb_species_codes', 'casfri_species_codes')",Maps source value to SPECIES_3 using lookup table,TRUE
18,SPECIES_PER_3,integer,"notNull(species);notEmpty(species);lengthMatchList(species, {10, 13, 16, 19}|-8888);isIntsubstring(species, 10, 1)","substringMultiplyInt(species, 10, 1, 10)",Maps source value to SPECIES_PER_3 by multiplying by 10. ,TRUE
19,SPECIES_4,text,"notNull(species);notEmpty(species);lengthMatchList(species, {13, 16, 19}|NULL_VALUE);matchTable(substringText(species, 11, 2), 'translation', 'species_code_mapping', 'mb_species_codes')","lookupText(substringText(species, 11 , 2), 'translation', 'species_code_mapping', 'mb_species_codes', 'casfri_species_codes')",Maps source value to SPECIES_4 using lookup table,TRUE
20,SPECIES_PER_4,integer,"notNull(species);notEmpty(species);lengthMatchList(species, {13, 16, 19}|-8888);isIntsubstring(species, 13, 1)","substringMultiplyInt(species, 13, 1, 10)",Maps source value to SPECIES_PER_4 by multiplying by 10. ,TRUE
21,SPECIES_5,text,"notNull(species);notEmpty(species);lengthMatchList(species, {16, 19}|NULL_VALUE);matchTable(substringText(species, 14, 2), 'translation', 'species_code_mapping', 'mb_species_codes')","lookupText(substringText(species, 14 , 2), 'translation', 'species_code_mapping', 'mb_species_codes', 'casfri_species_codes')",Maps source value to SPECIES_5 using lookup table,TRUE
22,SPECIES_PER_5,integer,"notNull(species);notEmpty(species);lengthMatchList(species, {16, 19}|-8888);isIntsubstring(species, 16, 1)","substringMultiplyInt(species, 16, 1, 10)",Maps source value to SPECIES_PER_5 by multiplying by 10. ,TRUE
23,SPECIES_6,text,"notNull(species);notEmpty(species);lengthMatchList(species, {19}|NULL_VALUE);matchTable(substringText(species, 17, 2), 'translation', 'species_code_mapping', 'mb_species_codes')","lookupText(substringText(species, 17 , 2), 'translation', 'species_code_mapping', 'mb_species_codes', 'casfri_species_codes')",Maps source value to SPECIES_6 using lookup table,TRUE
24,SPECIES_PER_6,integer,"notNull(species);notEmpty(species);lengthMatchList(species, {19}|-8888);isIntsubstring(species, 19, 1)","substringMultiplyInt(species, 19, 1, 10)",Maps source value to SPECIES_PER_6 by multiplying by 10. ,TRUE
25,SPECIES_7,text,false(),nothingText(),Attribute does not occur,TRUE
26,SPECIES_PER_7,integer,false(),nothingInt(),Attribute does not occur,TRUE
27,SPECIES_8,text,false(),nothingText(),Attribute does not occur,TRUE
28,SPECIES_PER_8,integer,false(),nothingInt(),Attribute does not occur,TRUE
29,SPECIES_9,text,false(),nothingText(),Attribute does not occur,TRUE
30,SPECIES_PER_9,integer,false(),nothingInt(),Attribute does not occur,TRUE
31,SPECIES_10,text,false(),nothingText(),Attribute does not occur,TRUE
32,SPECIES_PER_10,integer,false(),nothingInt(),Attribute does not occur,TRUE
33,ORIGIN_UPPER,integer,"notNull(origin_upper);isInt(origin_upper);isBetween(origin_upper,1000,2020)",copyInt(origin_upper),Copies origin value to ORIGIN_UPPER,TRUE
34,ORIGIN_LOWER,integer,"notNull(origin_lower);isInt(origin_lower);isBetween(origin_lower,1000,2020)",copyInt(origin_lower),Copies origin value to ORIGIN_LOWER,TRUE
35,SITE_CLASS,text,false(),nothingText(),Attribute does not occur,TRUE
36,SITE_INDEX,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
